AVar1;AVar2;AVar3;AVar4;AVar5;BVar1;BVar2;BVar3;BVar4;BVar5;CVar1;CVar2;CVar3;CVar4;CVar5;DVar1;DVar2;DVar3;DVar4;DVar5;A;B;C;D;contVar1;contVar2;contVar3;contVar4;contVar5;wokr_ex;bin1;bin2;age;indVar1;indVar2;inCVar3;proba
5;5;5;5;5;4;5;4;4;3;5;5;4;4;4;3;5;4;5;5;5;4;4;5;113;76;82;63;714;25;1;0;55-64;1;Nie;A;D
2;2;4;4;3;4;4;4;4;3;4;3;4;4;3;2;4;4;2;2;3;4;4;2;56;37;48;22;356;12;1;0;35-44;2;Nie;C;B
2;2;2;5;4;2;4;5;4;4;3;2;3;4;2;3;4;2;4;4;2;4;3;4;53;55;48;53;446;20;0;1;45-54;2;Nie;C;A
2;5;5;4;5;4;5;3;5;4;2;1;2;4;3;5;5;4;4;5;5;4;2;5;63;23;41;29;301;10;0;1;25-34;2;Nie;C;B
5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;4;5;5;5;5;5;5;98;78;95;56;586;12;1;0;35-44;1;Nie;A;C
4;4;4;4;4;4;4;4;4;4;1;3;5;4;2;4;4;2;1;1;4;4;3;2;88;61;54;39;423;10;1;1;25-34;2;Nie;C;B
4;4;4;4;4;2;2;4;4;2;4;4;4;4;4;4;4;4;4;4;4;2;4;4;111;67;73;56;740;25;0;0;55-64;2;Nie;C;D
4;4;2;5;4;4;4;3;2;2;4;3;4;4;3;4;5;4;4;4;4;3;4;4;131;78;104;52;685;20;0;0;45-54;1;Nie;C;C
1;1;1;1;4;3;5;4;4;3;3;3;3;3;2;1;1;3;2;2;1;4;3;2;87;76;61;56;598;15;0;0;45-54;1;Tak;B;B
1;2;1;2;2;1;1;1;2;2;3;2;2;3;3;1;2;3;2;2;2;1;3;2;112;70;88;49;644;30;1;0;55-64;1;Nie;B;C
4;5;4;4;4;4;5;5;4;4;5;3;4;4;4;4;4;5;4;3;4;4;4;4;74;37;50;22;443;28;1;1;45-54;1;Tak;A;C
1;2;1;3;3;4;4;4;4;3;3;3;2;3;3;1;2;4;4;3;2;4;3;3;76;40;50;29;395;12;0;0;35-44;2;Nie;B;C
4;4;4;4;5;5;5;5;5;5;4;3;5;4;3;4;4;4;4;3;4;5;4;4;95;59;67;41;509;8;1;0;35-44;2;Nie;C;A
4;4;5;5;5;5;5;5;5;5;1;1;3;2;2;5;5;1;2;2;5;5;2;2;125;68;98;94;805;8;1;0;35-44;2;Nie;B;C
5;5;5;5;3;3;4;3;4;4;5;5;5;5;5;4;5;5;5;5;5;4;5;5;63;44;55;31;454;10;0;0;65+;2;Nie;A;C
4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;4;5;5;4;4;4;4;4;4;62;44;45;31;426;6;1;0;25-34;2;Nie;A;B
4;4;4;4;3;4;5;5;4;4;3;3;4;5;4;4;3;5;4;3;4;4;4;4;87;75;80;42;663;3;0;0;25-34;1;Nie;C;D
4;4;4;3;5;5;4;5;5;5;5;5;5;5;5;1;4;5;1;1;4;5;5;1;115;77;77;34;692;19;0;0;35-44;2;Nie;A;D
